Name,Link,Description
FMHY,https://fmhy.net,"Freemediaheckyeah ist the largest collection of free stuff on the internet! Prepare to sail the seven seas, pirate style."
Deku Deals,https://www.dekudeals.com,"Deku Deals makes it easy to find the best deals on games across all major stores and be alerted to the next top sale."
Desmos Calculator,https://www.desmos.com/calculator,"Desmos Graphing Calculator. Graph functions, plot points, visualize algebraic equations."
Codewars,https://www.codewars.com,"Improve your development skills by training with your peers on code kata that continuously challenge and push your coding practice."
Letterbox,https://letterboxd.com,"Track films/movies you watched. Save those you want to see. Tell your friends what is good."
Connect the Stars,https://connectthestars.xyz/,"Figure out how movie stars are connected through their films."
Vim Binds Everywhere,https://github.com/erikw/vim-keybindings-everywhere-the-ultimate-list?tab=readme-ov-file#web-browsers,"Discover new programs that support Vim keybindings."
Google Scholar,https://scholar.google.com,"Google Scholar is a freely accessible web search engine that indexes the full text or metadata of scholarly literature across an array of publishing formats and disciplines."
Sci-Hub,https://sci-hub.mksa.top/,"Sci-Hub is a shadow library website that provides free access to millions of research papers and books, without regard to copyright, by bypassing publishers' paywalls in various ways."
Library Genesis,https://libgen.is,"Library Genesis is a file-sharing based shadow library website for scholarly journal articles, academic and general-interest books, images, comics, audiobooks, and magazines. The site enables free access to content that is otherwise paywalled or not digitized elsewhere."
OldGames Download,https://oldgamesdownload.com/,"Old Games Download is an archival website providing a database of abandonware games from the 70s, 80s, 90s and early 00s."
Unsplash,https://unsplash.com/,"Over 3 million free high-resolution images brought to you by the world’s most generous community of photographers."
Ninite,https://ninite.com/,"Install and Update All Your Programs at Once No toolbars. No clicking next. Just pick your apps and go. ."
TinyEye,https://tineye.com/,"Reverse image search."
Hacker Typer,https://hackertyper.net/#,"Look like the stereotypical hacker in movies and pop culture."
BigJPG,https://bigjpg.com/,"Using the latest Deep Convolutional Neural Networks, bigjpg intelligently reduces noise and serration in images. This allows the images to be enlarged without losing quality."
Vector Magic,https://vectormagic.com/,"Automatically convert JPG, PNG, BMP, and GIF bitmap images to true SVG, EPS, and PDF vector images online by simply uploading them. Real full-color tracing, no software to install and results are ready right away!"
DownDetector,https://downdetector.com/,"Real-time problem & outage monitoring. We tell you when your favorite services are down or having problems."
WhatIsMyIP,https://www.whatismyip.com/,"WhatIsMyIP.com provides tools that allow users to perform an IP Location Lookup, IP Whois Lookup, Internet Speed Test, Proxy Detection, and more. Extensive tutorials show users how to trace an email address, how to create strong passwords, and how to avoid being tracked by ads online."
RainyMood,https://www.rainymood.com/,"Rain Sounds for Sleep & Study."
Can I Use,https://caniuse.com/,"Can I use provides up-to-date browser support tables for support of front-end web technologies on desktop and mobile web browsers."
ShortURL,https://www.shorturl.at/,"ShortURL.at is a free tool to shorten a URL or reduce a link. Use our URL Shortener to create a shortened link making it easy to remember."
PixelSpace,https://joshworth.com/dev/pixelspace/pixelspace_solarsystem.html,"This is a representation of our solar systems scale where you can scroll through the relative distances between planets."
12ft Ladder,https://12ft.io/,"Prepend 12ft.io/ to the URL of any paywalled page, and we'll try our best to remove the paywall and get you access to the article."
This Person doesn't exist,https://thispersondoesnotexist.com/,"AI generates random Faces that do in Fact not exist and are not real."
ToSDR,https://tosdr.org/,"“Terms of Service; Didn't Read” (short: ToS;DR) is a young project started in June 2012 to help fix the “biggest lie on the web”: almost no one really reads the terms of service we agree to all the time."
MouseSensitivity,https://www.mouse-sensitivity.com/,"Analyze DPI and Calculate Sensitivity across different Games."
SteamDB,https://steamdb.info/,"Database of everything on Steam. This third-party website gives you better insight into the Steam platform and everything in its database."
